mbti,function_pair,playlist_name,playlist_id,track_count,danceability_mean,danceability_stdev,energy_mean,energy_stdev,loudness_mean,loudness_stdev,mode_mean,mode_stdev,speechiness_mean,speechiness_stdev,acousticness_mean,acousticness_stdev,liveness_mean,liveness_stdev,valence_mean,valence_stdev,tempo_mean,tempo_stdev,instrumentalness_mean,instrumentalness_stdev,CMajor_count,C#/Dbminor_count,C#/DbMajor_count,Dminor_count,DMajor_count,D#_EbMajor_count,Eminor_count,EMajor_count,Fminor_count,FMajor_count,F#/Gbminor_count,GMajor_count,G#/Abminor_count,G#/AbMajor_count,Aminor_count,AMajor_count,Bminor_count,BMajor_count,Cminor_count,F#/GbMajor_count,Gminor_count,A#/Bbminor_count,A#/BbMajor_count,D#_Ebminor_count
ESTP,SP,My b(est+eats),0awWU5ttcaaS4lcMlAAWa9,50,0.73696,0.0961423179776858,0.7061420000000002,0.1525527009506778,-6.128639999999999,2.943510120067328,0.66,0.4785181206984066,0.199504,0.1232543263470508,0.2113716,0.1974689467021928,0.195094,0.1669956572941406,0.4329860000000001,0.2044941813552729,126.23736,28.92300819788104,0.0001066004,0.0004635727392055,3.0,3.0,7.0,1.0,6.0,0.0,2.0,0.0,1.0,3.0,1.0,2.0,1.0,5.0,1.0,2.0,1.0,0.0,4.0,1.0,1.0,1.0,4.0,0.0
ESTP,SP,estp,412XwRK1rGXaX6kIn0N06q,50,0.5910799999999999,0.1695770055648068,0.7279599999999999,0.1980299874220249,-6.48332,3.419612637330106,0.64,0.484873221385061,0.0790459999999999,0.0706777112053332,0.1454135912,0.2260840933645419,0.198608,0.115023637038441,0.5187740000000001,0.2461315036018472,129.76228,31.891787926431626,0.0492636309999999,0.1263142315605156,4.0,0.0,3.0,0.0,3.0,2.0,0.0,6.0,6.0,3.0,2.0,4.0,1.0,1.0,1.0,2.0,2.0,0.0,2.0,1.0,1.0,3.0,3.0,0.0
ESTP,SP,icic’estParis🔥🇫🇷,1FWyluumYn8ZPUy6vkwi84,50,0.68686,0.1224641571886172,0.6225799999999999,0.1328993926676438,-6.952919999999999,2.0559526302809563,0.32,0.4712120714991611,0.127888,0.0906464957954801,0.389704,0.2549413993970587,0.145082,0.0834431657733916,0.55936,0.1747613836763997,120.10062,25.457945550027464,0.0003301056,0.001683298681672,2.0,2.0,0.0,1.0,2.0,0.0,3.0,0.0,3.0,2.0,3.0,2.0,6.0,1.0,5.0,2.0,1.0,3.0,2.0,2.0,5.0,2.0,0.0,1.0
ESTP,SP,Elijah is dangerous lowkey,0L9gg8LPm1faWceTiN1ZWv,50,0.6558600000000001,0.1553514790428991,0.59852,0.1836883163160368,-7.5424,3.5996279739745893,0.66,0.4785181206984066,0.170572,0.1572270411389406,0.1590854,0.2082526634138915,0.176306,0.1717983409793741,0.4115739999999999,0.2324676407676595,127.6933,34.55167920090196,0.0377371768,0.1197205246092566,2.0,2.0,4.0,1.0,1.0,1.0,0.0,1.0,3.0,3.0,0.0,4.0,1.0,8.0,3.0,4.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0,0.0
ESTP,SP,៹ ࣪˖⁩ ESTP vibes. ◞,63IE1oRVI8p1T7SRN2wO0X,23,0.6040434782608696,0.1764800988679536,0.6890869565217391,0.159266475683616,-6.196391304347827,2.322830380437751,0.4347826086956521,0.5068698018697019,0.0789086956521739,0.0951413394187992,0.1649363652173913,0.2248084040352314,0.1982999999999999,0.1374736933512603,0.3993217391304349,0.2591680324642362,123.4179565217391,24.08527139990568,0.0201126686956521,0.0881850871125164,3.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,2.0,3.0,1.0,0.0
ESTP,SP,8357,24IRith194oGkyR8Kbe17M,50,0.42254,0.1300956022096278,0.8830600000000001,0.1317513753171449,-4.8408,1.954102382795993,0.56,0.5014265364224069,0.110624,0.0766001293759231,0.0244893996,0.0824050745611527,0.227014,0.1572440998665996,0.4101000000000001,0.2503874304076033,123.2158,30.350837010950883,0.1362159208,0.2495467298083235,1.0,0.0,5.0,1.0,7.0,0.0,4.0,0.0,1.0,2.0,1.0,2.0,0.0,3.0,1.0,3.0,7.0,1.0,2.0,4.0,1.0,3.0,0.0,1.0
ESTP,SP,Im an estp,1CXMZNbJy1nvNVCanwkDyi,50,0.66388,0.1261208749654109,0.72322,0.155848603930028,-5.1594,2.440659922468277,0.52,0.5046720495044485,0.0952119999999999,0.0861430624020297,0.1270793999999999,0.1347355989831452,0.210216,0.1723129170185119,0.5583440000000001,0.2346985301728711,123.59286,32.02720104371104,0.0060224536,0.0295871983986308,2.0,1.0,4.0,1.0,2.0,0.0,6.0,1.0,3.0,3.0,1.0,7.0,2.0,1.0,1.0,0.0,2.0,1.0,2.0,4.0,1.0,3.0,1.0,1.0
ESTP,SP,suli’s estp,2HqeiNZ4pRbZbQVhcKO0gR,50,0.7586799999999999,0.1053810268327583,0.7069799999999998,0.1193329230791412,-5.153440000000001,1.5618094184604716,0.52,0.5046720495044484,0.1286679999999999,0.0946248650067783,0.224598,0.1972176260802636,0.160718,0.1141276383381915,0.5197999999999999,0.1991220526128,117.48018,28.092795941010664,0.0009673716,0.0046906552807846,3.0,2.0,5.0,3.0,8.0,0.0,2.0,0.0,3.0,1.0,3.0,3.0,0.0,2.0,5.0,0.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0
ESTP,SP,the detective - brainrot,0YmLZTdzlumx5OY0oTvnly,26,0.5897692307692307,0.169224893604294,0.7896923076923076,0.1385778537085256,-5.350615384615384,2.072897258947932,0.5,0.5099019513592785,0.1086038461538461,0.1051658974412113,0.0901113846153846,0.1209911128405973,0.2161807692307692,0.1925472763125581,0.6167692307692307,0.1982419345531732,128.81465384615385,38.59498759677718,0.0328490269230769,0.1610150996017844,2.0,3.0,2.0,1.0,3.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0
ESTP,SP,Augustin,5QgXeYhFey46BC8oOFpgCN,33,0.6802424242424242,0.1240176475100999,0.6883939393939394,0.1839532786120465,-6.336181818181818,2.7912850809992684,0.5757575757575758,0.5018903659106633,0.1083363636363636,0.0978807623405316,0.1007004666666666,0.1482049281185908,0.212260606060606,0.1776709721285984,0.5261818181818182,0.1937618471451253,128.4630606060606,30.19200203793568,0.13151303,0.2579903068008839,3.0,2.0,3.0,0.0,3.0,0.0,2.0,1.0,2.0,1.0,1.0,3.0,2.0,1.0,2.0,1.0,0.0,0.0,2.0,2.0,0.0,1.0,1.0,0.0
