mbti,function_pair,playlist_name,playlist_id,track_count,danceability_mean,danceability_stdev,energy_mean,energy_stdev,loudness_mean,loudness_stdev,mode_mean,mode_stdev,speechiness_mean,speechiness_stdev,acousticness_mean,acousticness_stdev,liveness_mean,liveness_stdev,valence_mean,valence_stdev,tempo_mean,tempo_stdev,instrumentalness_mean,instrumentalness_stdev,Cminor_count,CMajor_count,C#/Dbminor_count,C#/DbMajor_count,DMajor_count,D#_Ebminor_count,D#_EbMajor_count,Eminor_count,EMajor_count,Fminor_count,FMajor_count,F#/Gbminor_count,GMajor_count,G#/AbMajor_count,AMajor_count,A#/Bbminor_count,A#/BbMajor_count,Bminor_count,BMajor_count,F#/GbMajor_count,Gminor_count,G#/Abminor_count,Aminor_count,Dminor_count
ISTJ,SJ,pov: you’re the trophy child 🏆,5AP4Hdb340L6AQ4lD55lbU,16,0.6128125,0.1031078521096558,0.512,0.1917727822189582,-8.584187499999999,3.0295529531324146,0.8125,0.4031128874149275,0.08811875,0.0811578315691098,0.4317863125,0.3646135029848673,0.1492125,0.1130988704629714,0.5269375000000001,0.1881968716530644,138.9791875,32.24076180700192,0.034702775,0.122956337618191,0.0,4.0,0.0,1.0,2.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
ISTJ,SJ,another one of those enfp x istj fuckers 😂,4d6wnMOMp96kZJVyNUiCMr,27,0.6491111111111111,0.1193583271347678,0.617888888888889,0.2134086605793129,-7.046222222222222,3.276632057620392,0.8888888888888888,0.3202563076101742,0.0670925925925925,0.061824415925736,0.2957466666666666,0.2925939043347386,0.1894333333333333,0.1169598451803668,0.5816296296296296,0.2290745844526739,119.81692592592591,27.89923260169593,0.0034367292592592,0.0108280072302151,0.0,2.0,2.0,1.0,3.0,0.0,2.0,1.0,1.0,0.0,2.0,0.0,1.0,1.0,3.0,0.0,1.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0
ISTJ,SJ,👨‍🦳提前步入老年,0IrQle3qeWt1Q9T4OG3fU2,47,0.6247872340425532,0.1169553865462517,0.5716170212765959,0.2232989372033635,-7.321978723404256,3.7437086499965777,0.723404255319149,0.4521507857175269,0.0445106382978723,0.0407515603011102,0.4758772340425531,0.2917562021448888,0.1550297872340425,0.0821740435980735,0.4605106382978723,0.2260376913876192,127.21485106382978,29.933532282577648,0.0124245861702127,0.0826853953221528,1.0,5.0,1.0,4.0,3.0,0.0,1.0,2.0,5.0,2.0,4.0,2.0,1.0,2.0,1.0,1.0,4.0,0.0,3.0,1.0,1.0,0.0,3.0,0.0
ISTJ,SJ,POV: Your me,6xYpkK2kauMGHlyqJl66hk,31,0.5860000000000001,0.1650296942977232,0.5598354838709676,0.2586807486051576,-8.83158064516129,4.7716151128256605,0.7096774193548387,0.4614143753790637,0.0735806451612903,0.0783111802122567,0.4356718967741935,0.3615136118028342,0.2221967741935484,0.22397863660607,0.5244193548387097,0.2099953609318625,123.4297741935484,30.185918097361974,0.0150693193548387,0.0519421466356611,0.0,5.0,2.0,0.0,5.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,6.0,0.0,2.0,0.0,0.0,3.0,1.0,0.0,1.0,0.0,1.0,2.0
ISTJ,SJ,🎧 ,2D9zlfzeH0gFfMcu3CEvdB,50,0.53018,0.1620819508011617,0.63052,0.1923377386637519,-8.23168,3.256125063034657,0.76,0.4314191105869001,0.040602,0.0207712761833671,0.2301581426,0.2809549098628899,0.141454,0.106236607722612,0.486528,0.2360207298401682,124.63554000000002,30.024672821007915,0.2822970768,0.3403494874671539,2.0,4.0,1.0,1.0,5.0,2.0,4.0,0.0,3.0,2.0,3.0,2.0,3.0,1.0,7.0,1.0,1.0,0.0,2.0,4.0,0.0,1.0,1.0,0.0
ISTJ,SJ,death the kid | character playlist,5U16fBosBG0NxIu2y2Gepz,36,0.5446111111111113,0.1522271381433073,0.7239249999999999,0.2312468592836915,-6.969055555555555,4.912014523852681,0.5833333333333334,0.4999999999999999,0.1002305555555555,0.1022091156668368,0.173700675,0.2572485998725128,0.1792416666666666,0.1644370576499453,0.4123583333333334,0.226350671525401,125.83730555555556,33.85645896834749,0.2975136063888889,0.3801246236910406,1.0,2.0,0.0,3.0,2.0,1.0,1.0,1.0,0.0,4.0,2.0,0.0,2.0,4.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,3.0,0.0
ISTJ,SJ,silvanus chatterjee ,3dweAvNLqOorIiN7ArlBvh,50,0.47508,0.1328326920664964,0.3580979999999999,0.1782392183990667,-10.18394,3.398248777153987,0.76,0.4314191105869001,0.03929,0.0126129873138599,0.622148,0.3018714980292922,0.127302,0.0692709895693599,0.2623020000000001,0.1828610808616134,119.77202,32.31697429164647,0.0901227929999999,0.2141580160254227,1.0,4.0,0.0,3.0,2.0,0.0,4.0,0.0,1.0,0.0,3.0,2.0,1.0,2.0,8.0,2.0,5.0,2.0,3.0,2.0,2.0,1.0,1.0,1.0
ISTJ,SJ,ist.joaquin.guz7,6hS6fTuFh28BLUl13d3f57,50,0.7938,0.0721138555567881,0.6894199999999998,0.1111850984729922,-6.52622,1.6157651285419687,0.56,0.5014265364224069,0.1231,0.0760935782642742,0.2266662,0.1977656828414755,0.153286,0.1318310220374118,0.6624599999999999,0.2104282523516153,112.72806,30.69955797621689,0.0173703216,0.0703933745726035,1.0,4.0,3.0,6.0,2.0,2.0,0.0,3.0,0.0,2.0,1.0,0.0,3.0,4.0,1.0,4.0,0.0,0.0,4.0,3.0,2.0,0.0,5.0,0.0
ISTJ,SJ,desiderium,0PmkKvsSpIWMcqS5ugaho5,15,0.5062666666666668,0.164770605330418,0.4756000000000001,0.2113848217283891,-9.668933333333332,4.231390458173745,0.5333333333333333,0.5163977794943222,0.0648266666666666,0.0583331254418064,0.5245133333333333,0.3360522851893026,0.1778733333333333,0.1134249875888193,0.3634666666666666,0.2177206160809459,121.14406666666667,33.6394944638137,0.169740932,0.31437766701171,1.0,1.0,2.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0
ISTJ,SJ,babie,0kqu0gq5LTid0uy8VjdYmE,25,0.57924,0.0996156279573307,0.6748000000000001,0.1745498973550734,-6.81852,2.956314782517811,0.6,0.5,0.046524,0.0186646787631969,0.1784487,0.2435570675570717,0.174012,0.1220079277478858,0.518756,0.2261393672052701,123.01256,24.88301933561653,0.106342308,0.2242540702879978,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,1.0,3.0,1.0,2.0,0.0,3.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,2.0,1.0
