mbti,function_pair,playlist_name,playlist_id,track_count,danceability_mean,danceability_stdev,energy_mean,energy_stdev,loudness_mean,loudness_stdev,mode_mean,mode_stdev,speechiness_mean,speechiness_stdev,acousticness_mean,acousticness_stdev,liveness_mean,liveness_stdev,valence_mean,valence_stdev,tempo_mean,tempo_stdev,instrumentalness_mean,instrumentalness_stdev,Cminor_count,CMajor_count,C#/Dbminor_count,DMajor_count,D#_EbMajor_count,Eminor_count,EMajor_count,Fminor_count,FMajor_count,F#/GbMajor_count,Gminor_count,GMajor_count,G#/Abminor_count,G#/AbMajor_count,Aminor_count,AMajor_count,A#/Bbminor_count,A#/BbMajor_count,Bminor_count,C#/DbMajor_count,F#/Gbminor_count,BMajor_count,D#_Ebminor_count,Dminor_count
INTJ,NT,| INTJ,14vmfiXnUfF47ZXQaYFT7C,12,0.5341666666666667,0.141330581734221,0.6580833333333334,0.1740106884561109,-7.274666666666666,1.888762814568565,0.5,0.5222329678670935,0.0528833333333333,0.0229225111004775,0.168075,0.2515664694198407,0.2440416666666666,0.2005028018771958,0.5864166666666668,0.1733920719238933,127.45816666666668,30.801365530040258,0.1248658466666666,0.2733979921692974,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,1.0
INTJ,NT,griffith | character playlist,1GRWnv5zBaXlSlqq4ZjBJX,50,0.3635059999999999,0.1600863789920164,0.515872,0.2903456068978794,-10.9865,6.058853751801101,0.52,0.5046720495044485,0.056906,0.0795397280018749,0.43345627,0.4210831149237851,0.1814079999999999,0.1414380672714011,0.225958,0.1673427950559654,115.52924000000002,34.696851330744046,0.4524975148,0.39007459244757,4.0,2.0,2.0,4.0,1.0,1.0,1.0,0.0,1.0,0.0,7.0,6.0,0.0,2.0,2.0,2.0,3.0,0.0,1.0,5.0,1.0,2.0,1.0,2.0
INTJ,NT,intj x infp,5MFQ5N1FSnJqtt9hZw3mVJ,50,0.61714,0.1611650200057983,0.63162,0.1463427469737968,-6.50648,2.094646433951397,0.48,0.5046720495044484,0.100618,0.0958409837135641,0.2346755999999999,0.267989590386931,0.200066,0.1261229536311811,0.446474,0.1963128207629812,123.3838,34.98160710943943,0.0571447677999999,0.1747011653066516,2.0,4.0,3.0,3.0,1.0,4.0,0.0,1.0,2.0,1.0,3.0,2.0,2.0,2.0,3.0,0.0,4.0,1.0,1.0,6.0,1.0,2.0,0.0,2.0
INTJ,NT,INTJ moments,4l8PjDceeoY0lFY1LqYEQN,50,0.60034,0.1295895577173861,0.6467200000000001,0.1780659176271758,-6.630660000000001,2.726412373992831,0.66,0.4785181206984066,0.09103,0.0852492198779315,0.1638229299999999,0.2251557561771272,0.1868619999999999,0.1338283089694876,0.429316,0.1921386312440227,127.85088000000002,33.59696683809418,0.0030523686,0.0202148465692896,3.0,7.0,0.0,3.0,2.0,1.0,4.0,2.0,2.0,1.0,4.0,4.0,2.0,2.0,1.0,2.0,0.0,1.0,1.0,3.0,2.0,2.0,1.0,0.0
INTJ,NT,INTJ Lifter Gains,5W7w7Ky3bc2cZQdhbB5QG2,50,0.4691333333333333,0.1005865976975244,0.8258666666666669,0.1421651728224474,-4.906377777777778,2.212090704708689,0.3333333333333333,0.4767312946227961,0.0915133333333333,0.092064102173925,0.0733706,0.1270099746575763,0.220551111111111,0.1388505878178905,0.2145644444444445,0.1634128182292201,145.71737777777776,21.404664785008567,0.2204066835555555,0.3316308843176104,2.0,1.0,2.0,4.0,1.0,3.0,1.0,6.0,1.0,1.0,3.0,3.0,2.0,2.0,6.0,1.0,1.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0
INTJ,NT,INTJ.,7gjoeQGLtGn23kw93t7pjc,50,0.5076999999999999,0.0987287047563024,0.299918,0.1215455968695178,-9.3823,3.0153166703430965,0.84,0.3703280399090204,0.041508,0.0271474194661936,0.797616,0.2337860205663395,0.142248,0.0825634208672709,0.276818,0.1270621697261234,116.46269999999998,30.632626027768875,0.0489426746,0.1514947430746882,1.0,5.0,0.0,9.0,1.0,0.0,4.0,0.0,2.0,2.0,1.0,5.0,1.0,3.0,0.0,3.0,0.0,4.0,1.0,3.0,2.0,1.0,0.0,2.0
INTJ,NT,"INTJ,ENTP",1K2VPHOHmPiHRRgPKaPF8I,50,0.61418,0.1518534054102636,0.6694599999999999,0.1993671835522361,-6.644,3.265149719978787,0.58,0.4985693819032897,0.108992,0.1129498874614358,0.24647762,0.2580775590224285,0.209636,0.1677683847524586,0.5276519999999999,0.2246273242324645,128.7543,27.82133403119825,0.0690958878,0.1923285655327438,0.0,7.0,1.0,2.0,1.0,3.0,2.0,4.0,3.0,4.0,1.0,4.0,1.0,0.0,6.0,1.0,1.0,0.0,3.0,4.0,1.0,1.0,0.0,0.0
INTJ,NT,INTJ,1DWnFUoB9qFQnNwUNJDMdG,28,0.7917142857142857,0.1145564254119977,0.598,0.1135638179207653,-7.925357142857144,2.5133590805384074,0.6428571428571429,0.4879500364742666,0.2508821428571429,0.1434842127167368,0.2863321428571428,0.2046046233386098,0.155375,0.0789490863831921,0.5495,0.19603750585973,112.94378571428572,17.123620245811086,0.0027758171428571,0.0092031540923315,1.0,1.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,5.0,0.0,2.0,2.0,0.0,1.0,5.0,1.0,1.0,2.0,0.0
INTJ,NT,Anti-Hero/INTJ Playlist,0DRoRuLEn8vm8H8uyC1pvg,50,0.57288,0.1073673153625593,0.7438800000000001,0.1228907993766358,-5.44596,1.480030363174475,0.38,0.4903143514780145,0.0723219999999999,0.056129505100768,0.07610742,0.0912843248159601,0.16412,0.1236871613286966,0.47367,0.2103091177291179,111.5161,32.81351896812392,0.0022862462,0.011404879670582,0.0,3.0,1.0,4.0,2.0,5.0,0.0,4.0,1.0,1.0,2.0,3.0,3.0,3.0,0.0,0.0,3.0,1.0,2.0,0.0,0.0,1.0,4.0,7.0
INTJ,NT,intj ,5imzVVJs9PSDSp5wNSWDlP,22,0.5713181818181817,0.1339567756737887,0.5752272727272728,0.1608151650685261,-7.416090909090909,1.759728953942053,0.6818181818181818,0.4767312946227962,0.0667863636363636,0.048504425870268,0.3663340909090909,0.3115200365742618,0.1320181818181818,0.0785658997661237,0.3983636363636363,0.1343710376441878,113.27554545454548,30.46060825257571,0.01642529,0.0541173128974269,1.0,3.0,1.0,2.0,0.0,0.0,1.0,0.0,4.0,0.0,2.0,2.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
