mbti,function_pair,playlist_name,playlist_id,track_count,danceability_mean,danceability_stdev,energy_mean,energy_stdev,loudness_mean,loudness_stdev,mode_mean,mode_stdev,speechiness_mean,speechiness_stdev,acousticness_mean,acousticness_stdev,liveness_mean,liveness_stdev,valence_mean,valence_stdev,tempo_mean,tempo_stdev,instrumentalness_mean,instrumentalness_stdev,Cminor_count,CMajor_count,C#/Dbminor_count,C#/DbMajor_count,DMajor_count,D#_EbMajor_count,Eminor_count,EMajor_count,Fminor_count,FMajor_count,F#/Gbminor_count,Gminor_count,GMajor_count,G#/Abminor_count,G#/AbMajor_count,Aminor_count,AMajor_count,A#/Bbminor_count,A#/BbMajor_count,Bminor_count,BMajor_count,F#/GbMajor_count,D#_Ebminor_count,Dminor_count
ENTP,NT,Entpannt Rap💯,0lJSQnfJYEbe4udVJmVQwl,50,0.7396400000000001,0.1005837573612059,0.5384,0.138626351413151,-9.17312,2.950127895117604,0.42,0.4985693819032897,0.192728,0.1468414291759957,0.3136068,0.2428141996187409,0.118212,0.0350244558290696,0.4307399999999999,0.1893793094747757,123.7461,28.98760041687776,0.0279868114,0.1302716500513534,1.0,1.0,1.0,5.0,4.0,1.0,3.0,1.0,4.0,2.0,1.0,5.0,2.0,4.0,1.0,1.0,1.0,6.0,2.0,2.0,0.0,1.0,0.0,1.0
ENTP,NT,Infj x entp,5IT0CDzG5eTlBruFQDsxF9,26,0.6338461538461538,0.1189210468530082,0.6807307692307693,0.2263476189744098,-6.493307692307692,3.3514811504077504,0.5769230769230769,0.5038314736557788,0.0509192307692307,0.0302551948495562,0.1897021538461538,0.2831282734546576,0.1610961538461538,0.0906462905176785,0.5997692307692307,0.185507586409248,117.6678076923077,22.162134482074112,0.009351473076923,0.0213695186226841,2.0,1.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,5.0,1.0,2.0,1.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0
ENTP,NT,Entp,1Pb6p2SIKOmXc8vTFMEvXP,33,0.6243030303030304,0.1508087540663018,0.7,0.184238636013188,-6.630090909090909,2.559642643070957,0.5454545454545454,0.5056498968474316,0.1283151515151515,0.121127216494715,0.1943680303030303,0.2753016285422777,0.2421727272727272,0.1726032051279887,0.5886969696969697,0.2174788042615424,125.7440606060606,36.16862730058624,0.0149269403030303,0.0635164278553524,0.0,3.0,2.0,1.0,1.0,1.0,3.0,1.0,3.0,2.0,1.0,0.0,4.0,1.0,1.0,1.0,0.0,0.0,2.0,2.0,2.0,0.0,1.0,1.0
ENTP,NT,ENTP,3kuWZsNFNjPJLH8DNlfRmF,50,0.6188199999999999,0.1224357707501515,0.6993,0.1660072840791841,-6.354499999999999,2.339660853235628,0.54,0.5034574339058886,0.074846,0.0741037722744674,0.160483432,0.1803099666790173,0.169892,0.1500715283062156,0.54436,0.2263362822285928,123.99064,29.96096587552354,0.0483345154,0.1471668505561326,1.0,3.0,2.0,0.0,4.0,2.0,1.0,2.0,5.0,3.0,2.0,0.0,1.0,1.0,3.0,4.0,3.0,3.0,1.0,1.0,1.0,4.0,0.0,3.0
ENTP,NT,entp🤸,4pti2GqYRrWIgzJIK23d1E,50,0.63866,0.1425673646715395,0.7643599999999999,0.1455096265838498,-5.20638,2.25822842692303,0.5,0.5050762722761054,0.112876,0.0997211347627339,0.0854530799999999,0.1323211447586453,0.205084,0.1641925056829603,0.5953200000000001,0.201269383906145,125.09546,26.508255941683448,0.0371367894,0.1432601300707263,1.0,2.0,2.0,6.0,2.0,2.0,7.0,1.0,4.0,4.0,0.0,0.0,4.0,2.0,1.0,4.0,0.0,2.0,2.0,0.0,1.0,0.0,2.0,1.0
ENTP,NT,ENTP,3cPs0UryreSjZkHHYVYk3a,31,0.7003870967741935,0.1463214902009395,0.6740322580645164,0.1543427968022193,-6.545193548387097,2.461182269010225,0.5161290322580645,0.5080005080007621,0.111358064516129,0.0829558990234913,0.1412945161290322,0.1806627620520013,0.2431774193548387,0.1658758807254738,0.5185806451612902,0.1999089416365275,123.607935483871,28.908443667246523,0.1138488780645161,0.2780909828827317,0.0,2.0,3.0,3.0,2.0,0.0,1.0,0.0,2.0,1.0,0.0,1.0,3.0,0.0,1.0,1.0,0.0,3.0,0.0,4.0,2.0,2.0,0.0,0.0
ENTP,NT,entp🧎‍♂️,3fPaNiFiLv2BTBNI0oNopY,33,0.6788181818181819,0.174394211225863,0.6514242424242425,0.1906870850213495,-6.984393939393939,3.594480699101349,0.5757575757575758,0.5018903659106633,0.115990909090909,0.099102366153754,0.1476393333333333,0.2149134605090597,0.1967151515151515,0.1600487818627732,0.5241212121212122,0.189464006736068,122.3139090909091,29.91296301497441,0.0556212475757575,0.114826453365013,2.0,1.0,1.0,3.0,2.0,0.0,0.0,1.0,2.0,2.0,0.0,2.0,4.0,0.0,3.0,1.0,2.0,4.0,0.0,2.0,1.0,0.0,0.0,0.0
ENTP,NT,ENTP VIBE,0NeXrQjJuxDkPvQXWsv7E4,50,0.6527399999999999,0.1292856053669628,0.6799799999999999,0.191350142782432,-6.2441,2.7547760251932627,0.42,0.4985693819032897,0.0926179999999999,0.0820495760786969,0.1539329799999999,0.2160431284847759,0.2371639999999999,0.1657152386179499,0.491332,0.2340113057097883,119.46111999999998,27.4146801859805,0.0366297909999999,0.1212752688034635,3.0,6.0,1.0,3.0,0.0,1.0,3.0,2.0,3.0,0.0,3.0,2.0,3.0,1.0,0.0,1.0,3.0,2.0,1.0,8.0,1.0,1.0,1.0,1.0
ENTP,NT,ENTP(;,2L04MiQPv4mrxxAdCHMcZE,38,0.5933421052631579,0.1624260790396814,0.6713947368421054,0.161598190295206,-8.02728947368421,2.540709604090683,0.4473684210526316,0.5038966228735666,0.1134921052631579,0.1314675119287855,0.1885401578947368,0.2288063619662795,0.1728473684210525,0.1331949693410096,0.4803684210526315,0.2189669678966943,121.38968421052633,28.940768650119576,0.1650458147368421,0.325350045219191,2.0,1.0,1.0,5.0,1.0,0.0,0.0,1.0,4.0,0.0,1.0,2.0,3.0,2.0,2.0,5.0,2.0,2.0,1.0,2.0,0.0,1.0,0.0,0.0
ENTP,NT,Entp,6bPvPACNcdv8ybNj5PMEJz,50,0.62306,0.1339944272371513,0.6858,0.1801264861712684,-6.2598400000000005,2.522668010707096,0.48,0.5046720495044484,0.118472,0.1189732091948538,0.175782068,0.2132344116575306,0.179162,0.1294462080225935,0.52276,0.2044268802964891,120.1544,34.5656180618834,0.026308392,0.0984686980475836,1.0,2.0,2.0,3.0,3.0,1.0,5.0,2.0,3.0,1.0,0.0,3.0,4.0,2.0,0.0,5.0,5.0,2.0,0.0,2.0,0.0,3.0,0.0,1.0
