mbti,function_pair,playlist_name,playlist_id,track_count,danceability_mean,danceability_stdev,energy_mean,energy_stdev,loudness_mean,loudness_stdev,mode_mean,mode_stdev,speechiness_mean,speechiness_stdev,acousticness_mean,acousticness_stdev,liveness_mean,liveness_stdev,valence_mean,valence_stdev,tempo_mean,tempo_stdev,instrumentalness_mean,instrumentalness_stdev,Cminor_count,CMajor_count,C#/Dbminor_count,C#/DbMajor_count,Dminor_count,DMajor_count,D#_Ebminor_count,D#_EbMajor_count,Eminor_count,EMajor_count,FMajor_count,F#/Gbminor_count,Gminor_count,GMajor_count,G#/Abminor_count,G#/AbMajor_count,Aminor_count,AMajor_count,A#/BbMajor_count,BMajor_count,Fminor_count,F#/GbMajor_count,A#/Bbminor_count,Bminor_count
ENFJ,NF,enfj // the protagonist ,2lYBRMPl4MSVTZQC1RAv5H,50,0.6017800000000001,0.1292563170998001,0.6897199999999998,0.1627701572206424,-6.45524,2.1022035626398106,0.64,0.4848732213850611,0.059502,0.0561703403832975,0.13959214,0.2076716203574237,0.179638,0.1512104006383968,0.5062,0.2044550746521602,123.71652000000002,23.17049367256132,0.0126392526,0.0591324956837877,2.0,4.0,3.0,3.0,0.0,7.0,2.0,1.0,4.0,2.0,3.0,0.0,1.0,2.0,0.0,2.0,2.0,5.0,0.0,2.0,1.0,1.0,1.0,2.0
ENFJ,NF,ENFJ's taste 🤌🏽,1OwUMxVFkdlqasQ2Q6gMIF,50,0.66974,0.1091731091207997,0.6529,0.1706124920660254,-5.50196,2.5169993064304625,0.76,0.4314191105869001,0.059096,0.0351486520193237,0.25918806,0.2639429747054148,0.146996,0.0917569926379411,0.59394,0.2330020942360118,122.58292000000002,28.19812632206442,0.0001458338,0.0004788949612022,1.0,5.0,1.0,1.0,1.0,3.0,0.0,1.0,0.0,0.0,4.0,2.0,1.0,8.0,0.0,2.0,1.0,9.0,1.0,1.0,4.0,3.0,0.0,1.0
ENFJ,NF,ENFJ-A ,5XMUoX5XXrLdDwOKfexizG,50,0.524308,0.1659962635920779,0.6491420000000001,0.2429648131826869,-8.64994,4.346658967528969,0.56,0.5014265364224069,0.046286,0.0256697392718686,0.301645404,0.3277827676730702,0.1978019999999999,0.1697052179997024,0.377956,0.2671858820662316,125.46416,23.41899522876458,0.2973389386,0.3792929541273417,0.0,3.0,1.0,5.0,0.0,2.0,0.0,1.0,3.0,1.0,1.0,4.0,2.0,4.0,2.0,1.0,1.0,4.0,3.0,1.0,3.0,2.0,0.0,6.0
ENFJ,NF,enfj,4WMMNsKt4nozNcCBYZQyYU,31,0.6295161290322582,0.1319542524179603,0.6579354838709678,0.1513466078210038,-5.546258064516128,2.172514441344283,0.6129032258064516,0.4951376478541909,0.0668677419354838,0.05112917228026,0.2204325806451613,0.2856181754950449,0.1675870967741935,0.1109168299280606,0.5011290322580645,0.1922785725513001,123.63116129032257,26.69471147761515,0.0030966193548387,0.0121072182280354,0.0,5.0,4.0,1.0,0.0,4.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,1.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ENFJ,NF,enfj :3,0iAIHzDXvf14gRI0lxol7y,50,0.57978,0.1209442931304173,0.6043999999999999,0.182971727491502,-7.07112,2.941779571370128,0.72,0.4535573676110727,0.049568,0.0249088660553479,0.25814776,0.2933602449595321,0.132772,0.0769131262914099,0.456126,0.2182415108665308,125.6472,29.043153838692504,0.0254996604,0.0853667510340266,1.0,3.0,3.0,5.0,2.0,7.0,0.0,1.0,2.0,3.0,3.0,1.0,0.0,4.0,0.0,4.0,1.0,3.0,1.0,2.0,0.0,0.0,1.0,3.0
ENFJ,NF,ENFJ x INFJ,77hyTLYxP7gK2Gpr0aEXeh,50,0.53474,0.1391846241214766,0.412284,0.2095516694940775,-10.918939999999996,3.4562501114735933,0.76,0.4314191105869001,0.047978,0.041432479076794,0.6291924000000001,0.3304947339267391,0.149192,0.0884754937591103,0.387184,0.2045368609661289,115.98506,27.39714113374696,0.0711437226,0.218263027750987,1.0,7.0,3.0,2.0,1.0,4.0,0.0,5.0,1.0,0.0,5.0,0.0,0.0,7.0,0.0,4.0,2.0,2.0,1.0,0.0,1.0,1.0,0.0,3.0
ENFJ,NF,enfj side,1TOk4EH4Y6O2qtjib3Sewb,39,0.6158974358974358,0.1143917081260228,0.5298717948717949,0.164947867280477,-7.6621538461538465,2.0186432068994096,0.4615384615384615,0.5050353737560759,0.0701692307692307,0.0468185475721015,0.3061846153846153,0.2341255337347011,0.1465743589743589,0.1095706734629796,0.3377076923076923,0.1880552485792901,114.49476923076924,28.55370752170053,0.0095910048717948,0.0323122885455876,1.0,2.0,1.0,0.0,0.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,4.0,1.0,1.0,5.0,2.0,2.0,0.0,0.0,2.0,1.0,2.0,4.0
ENFJ,NF,ENFJ,41rKOlp1hSseQmSw1PA8me,50,0.6238999999999999,0.1390633756564955,0.59698,0.1675952960715369,-7.918680000000002,2.569828497731921,0.62,0.4903143514780145,0.082082,0.0850296219453154,0.3105178799999999,0.2664816822732267,0.153986,0.1089592378565751,0.50426,0.2326001921490072,116.35052,25.406425961402853,0.1246905917999999,0.2491671095431916,1.0,4.0,2.0,0.0,1.0,4.0,1.0,1.0,1.0,3.0,6.0,5.0,1.0,5.0,0.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,3.0,2.0
ENFJ,NF,enfj,3RtEQDzH860JNBUZJMscD6,40,0.56095,0.1375846499339076,0.508375,0.1520724671214689,-9.977075,2.756270449194448,0.775,0.4229020617662604,0.0384075,0.0200476405351263,0.347198619,0.3042883674311376,0.2135925,0.1785857653435271,0.569275,0.2183250913496214,114.771975,21.090629009704763,0.0576694934999999,0.1857691480549794,1.0,4.0,1.0,4.0,1.0,5.0,0.0,1.0,0.0,1.0,6.0,1.0,0.0,2.0,1.0,0.0,2.0,6.0,1.0,1.0,1.0,0.0,0.0,1.0
ENFJ,NF,ENFJ,2WdFTTW01rhME5sOcifmEd,50,0.56976,0.1248531480237025,0.6759000000000001,0.1195256355390775,-6.26856,1.7447435477304216,0.84,0.3703280399090204,0.0552919999999999,0.0465124597746207,0.15225346,0.1946449939935349,0.149704,0.094594580592923,0.419974,0.1995118152196628,122.30922,31.843413632444296,0.01938332,0.1124137561831249,0.0,6.0,0.0,4.0,1.0,10.0,0.0,2.0,0.0,2.0,2.0,2.0,1.0,3.0,2.0,3.0,0.0,3.0,2.0,1.0,0.0,4.0,1.0,1.0
