mbti,function_pair,playlist_name,playlist_id,track_count,danceability_mean,danceability_stdev,energy_mean,energy_stdev,loudness_mean,loudness_stdev,mode_mean,mode_stdev,speechiness_mean,speechiness_stdev,acousticness_mean,acousticness_stdev,liveness_mean,liveness_stdev,valence_mean,valence_stdev,tempo_mean,tempo_stdev,instrumentalness_mean,instrumentalness_stdev,Cminor_count,CMajor_count,C#/Dbminor_count,C#/DbMajor_count,Dminor_count,DMajor_count,D#_Ebminor_count,D#_EbMajor_count,Eminor_count,EMajor_count,Fminor_count,FMajor_count,F#/Gbminor_count,F#/GbMajor_count,Gminor_count,GMajor_count,G#/Abminor_count,G#/AbMajor_count,Aminor_count,AMajor_count,A#/BbMajor_count,Bminor_count,A#/Bbminor_count,BMajor_count
INFJ,NF,infj :'),7yfZH7H25hPEvyxXAKYJ0H,50,0.58274,0.1487258551832868,0.522614,0.1954887125610466,-8.88162,4.672552083722774,0.7,0.4629100498862756,0.0924879999999999,0.0980072480451714,0.4065764,0.3264859851463452,0.1450319999999999,0.1060734659544593,0.4542819999999999,0.2422720065950497,117.56404,27.559370614210845,0.0466375621999999,0.165962997555993,1.0,3.0,0.0,2.0,1.0,5.0,0.0,2.0,1.0,4.0,2.0,4.0,0.0,3.0,0.0,4.0,3.0,1.0,2.0,3.0,2.0,3.0,2.0,2.0
INFJ,NF,INFJ🪐🔭,4CZDWswUOhSEPcahuu7AAR,50,0.5511,0.1382562320992645,0.57442,0.1802748570423303,-7.36546,2.878348670643624,0.62,0.4903143514780145,0.0644,0.0609373884091076,0.380607,0.3093756337927954,0.175752,0.0960039013663039,0.449088,0.2166402544613102,118.14838000000002,34.96890816716578,0.0292592655999999,0.0876592115425902,3.0,5.0,3.0,2.0,0.0,3.0,0.0,2.0,1.0,1.0,1.0,2.0,3.0,3.0,1.0,1.0,0.0,4.0,2.0,2.0,4.0,5.0,0.0,2.0
INFJ,NF,infj √,7tBJCFwmTVbIuzMlD4AdCI,50,0.53508,0.1549048213370693,0.60514,0.2038413759044327,-7.90922,3.021641000907842,0.56,0.5014265364224069,0.0506499999999999,0.0431938452248248,0.29803628,0.2810158278931837,0.15945,0.1370923169522892,0.39372,0.20571141267835,116.14756,28.99533458753779,0.0811707519999999,0.1901687154817511,3.0,3.0,0.0,3.0,1.0,3.0,0.0,0.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,3.0,2.0,1.0,0.0,6.0,2.0,8.0,2.0,2.0
INFJ,NF,INFJ,1atrSzRz2WEI9fYAYfFndU,50,0.4527,0.1232990805533687,0.3805892,0.2055764603359171,-11.87162,6.26257352358975,0.74,0.4430874976934522,0.037594,0.0092497856566451,0.5702674000000001,0.373320521688147,0.132008,0.0834879994798225,0.239894,0.1570189152910683,119.60744000000004,30.204317147273187,0.1497115942,0.3197078993038676,1.0,6.0,2.0,0.0,0.0,5.0,1.0,0.0,0.0,5.0,2.0,4.0,1.0,2.0,2.0,5.0,0.0,3.0,1.0,2.0,3.0,3.0,0.0,2.0
INFJ,NF,INFJ,4Myt7OkKW1jdwlTX82JS5d,22,0.4653181818181817,0.1138057603210447,0.4863181818181818,0.1895077297992872,-7.812727272727272,2.3822932365548675,0.6818181818181818,0.4767312946227962,0.0502,0.0545185507965167,0.432100909090909,0.3158104770255955,0.1571863636363636,0.1098282438106343,0.2767727272727271,0.1483624396755914,113.55013636363638,32.54131751553993,0.0798141177272727,0.2330704322316549,3.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,3.0,0.0,0.0
INFJ,NF,INFJ,37UwVDxgolivHHzwl7s3DQ,50,0.6687000000000001,0.1282902083209018,0.7064199999999999,0.1151035186256267,-6.83332,1.800905672834915,0.5,0.5050762722761054,0.08841,0.0776946804314615,0.12865884,0.1889583344645229,0.198648,0.1724854140417179,0.5598200000000001,0.2217149935555711,120.02904,27.75297966864393,0.1371355942,0.2516776394565581,2.0,7.0,3.0,4.0,1.0,1.0,0.0,1.0,2.0,0.0,4.0,1.0,3.0,1.0,3.0,4.0,2.0,4.0,2.0,1.0,0.0,2.0,1.0,1.0
INFJ,NF,infj <3,6utXKDd34PmCTrYz1xzdRX,50,0.5212399999999999,0.1534492617068174,0.454406,0.2201123205019081,-9.93696,4.429183662565224,0.86,0.3505098327538656,0.044124,0.0283240905612598,0.4977076506,0.3510876631064866,0.16962,0.1204441389700839,0.356358,0.2018514609350961,117.57832,31.193472171266723,0.1672921215999999,0.2781769116054254,1.0,8.0,0.0,4.0,1.0,8.0,0.0,1.0,0.0,2.0,2.0,3.0,1.0,2.0,0.0,3.0,0.0,2.0,1.0,5.0,3.0,1.0,0.0,2.0
INFJ,NF,every infj’s playlist,3wnbpuAKArovCpBPepc3SB,50,0.6051,0.1324582722126142,0.50688,0.1446140027657016,-8.404400000000003,2.2574662155358416,0.92,0.2740475156178699,0.064522,0.0490141557644944,0.4354660000000001,0.2769062610195673,0.138754,0.065656266965437,0.366578,0.1748719943389496,123.48409999999998,32.32165254807953,0.01550052,0.079904057951903,0.0,8.0,0.0,3.0,1.0,4.0,0.0,2.0,1.0,1.0,0.0,6.0,2.0,5.0,0.0,5.0,0.0,5.0,0.0,3.0,3.0,0.0,0.0,1.0
INFJ,NF,INFJ 🍂🍪🎧,76dQG48VVXUlohCWDkcLWh,50,0.4900200000000001,0.1322117179653412,0.436292,0.2341797712032709,-10.44026,4.871692258510657,0.6,0.4948716593053935,0.0486499999999999,0.058967044583723,0.52897946,0.3763876993732366,0.161268,0.1213863950955201,0.300264,0.1807361937708535,125.90308,26.12075298852135,0.1792329983999999,0.2937507443052305,2.0,2.0,2.0,2.0,1.0,1.0,0.0,1.0,3.0,5.0,1.0,2.0,4.0,2.0,1.0,4.0,2.0,2.0,1.0,4.0,3.0,1.0,2.0,2.0
INFJ,NF,INFJ,13cGGywO75ZBdUDioEjRgn,50,0.52998,0.1121395795699379,0.4001840000000001,0.1994965913063607,-10.37954,4.234251919134461,0.82,0.3880879344916035,0.048586,0.0288911257471697,0.609104,0.3006288388681026,0.147938,0.0906525614303178,0.338344,0.1736796008136117,119.0678,33.19237764109989,0.0397182216,0.1371815409897847,1.0,9.0,1.0,1.0,0.0,3.0,0.0,0.0,2.0,2.0,1.0,2.0,1.0,1.0,0.0,6.0,1.0,4.0,1.0,9.0,4.0,0.0,1.0,0.0
