mbti,function_pair,playlist_name,playlist_id,track_count,danceability_mean,danceability_stdev,energy_mean,energy_stdev,loudness_mean,loudness_stdev,mode_mean,mode_stdev,speechiness_mean,speechiness_stdev,acousticness_mean,acousticness_stdev,liveness_mean,liveness_stdev,valence_mean,valence_stdev,tempo_mean,tempo_stdev,instrumentalness_mean,instrumentalness_stdev,Cminor_count,CMajor_count,C#/Dbminor_count,C#/DbMajor_count,Dminor_count,DMajor_count,D#_Ebminor_count,Eminor_count,EMajor_count,Fminor_count,FMajor_count,F#/Gbminor_count,F#/GbMajor_count,Gminor_count,GMajor_count,G#/Abminor_count,G#/AbMajor_count,AMajor_count,A#/Bbminor_count,Bminor_count,BMajor_count,D#_EbMajor_count,Aminor_count,A#/BbMajor_count
ISTP,SP,dubz,44Bsgg5U23NfEgy4c6gLaj,32,0.5120312499999999,0.1309278265539034,0.6955843749999999,0.2813069590889192,-7.5524375,5.145495900346619,0.6875,0.4709290748598849,0.09636875,0.0858408483765159,0.261984634375,0.3407097490519389,0.207328125,0.1774584844395916,0.499740625,0.2140982844236383,131.3405,35.947419229004545,0.0122784668749999,0.0558343450958878,1.0,3.0,1.0,3.0,0.0,1.0,0.0,2.0,1.0,2.0,1.0,0.0,1.0,0.0,2.0,2.0,0.0,5.0,1.0,1.0,3.0,1.0,0.0,1.0
ISTP,SP,istp 7 vlfe,14KNWPzGdxNTMAME8jGg0C,14,0.6663571428571429,0.1104289588154074,0.7494999999999999,0.2033994743204764,-6.28142857142857,3.180484595739502,0.7142857142857143,0.4688072309384954,0.1654214285714285,0.1597812744327089,0.0941111428571428,0.1376687887816022,0.2969571428571428,0.2846238995162285,0.4319714285714286,0.2872342904014379,135.16985714285715,22.625733442789777,0.3005161435714286,0.4088441392928485,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
ISTP,SP,istp vibes,0AtnjoZJma5mTTkQvn2dr3,50,0.54562,0.1640330840198441,0.72398,0.173726913309836,-7.18474,2.830349425388307,0.56,0.5014265364224069,0.06011,0.0428053317773782,0.1190630185999999,0.2327269966719962,0.174006,0.1232659832083715,0.464144,0.2547647655771728,122.39,32.91941226506863,0.1867785122,0.3027113347444359,1.0,2.0,1.0,10.0,0.0,4.0,0.0,5.0,1.0,4.0,3.0,1.0,2.0,2.0,3.0,0.0,0.0,1.0,1.0,3.0,2.0,0.0,4.0,0.0
ISTP,SP,ISTP,6DY4vi105XZUVX6pNjFkF4,50,0.5907399999999999,0.1534196339509146,0.6220180000000001,0.2422439752541614,-8.29148,3.51256630551115,0.64,0.4848732213850611,0.09121,0.090812795219122,0.348301356,0.3294284684550732,0.226842,0.1688194689541439,0.55996,0.2096051642921977,126.07184,29.03903096527928,0.0487718456,0.1834080362525044,3.0,10.0,0.0,4.0,0.0,3.0,0.0,3.0,3.0,1.0,2.0,1.0,3.0,3.0,2.0,0.0,0.0,2.0,0.0,3.0,2.0,0.0,4.0,1.0
ISTP,SP,ISTP ,2TLy7t3MNQhaI24RV3wP9F,6,0.6843333333333333,0.1308138626700804,0.7771666666666667,0.1434286117434965,-5.3678333333333335,3.515338015990307,0.5,0.5477225575051661,0.0858333333333333,0.027098388635981,0.1374626666666666,0.2226174676404946,0.1539333333333333,0.0985394472618284,0.5209333333333332,0.2789674294011161,115.98383333333332,18.26521426555589,0.1318386166666666,0.3229218097117035,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
ISTP,SP,ISTP SONGS,3vh8FCKlufPBGCeDhpJEa2,26,0.5892692307692309,0.1504833698964261,0.6641538461538461,0.1744274502038466,-6.48126923076923,2.5247936875347627,0.5384615384615384,0.508391127441794,0.0738653846153846,0.0652912057925579,0.1642005769230769,0.1990473183859904,0.188476923076923,0.1576074193880283,0.4940346153846154,0.2761855390020378,121.36246153846152,23.72474850990968,0.0330153576923076,0.0918448440464511,0.0,1.0,2.0,2.0,0.0,1.0,1.0,2.0,1.0,1.0,2.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,3.0,2.0,2.0,0.0,0.0
ISTP,SP,ISTP-A,4FjgydBKN7KFaiHgWWC7uV,50,0.6295000000000001,0.187699526490873,0.7088,0.1788219956337837,-6.20514,2.6795398174054483,0.62,0.4903143514780145,0.140894,0.1209818782348186,0.141767412,0.196444654838314,0.200328,0.1702407107837701,0.544076,0.2501847770699709,126.96408,34.33114504938092,0.0709803696,0.2136455485275258,1.0,3.0,2.0,4.0,1.0,4.0,0.0,1.0,0.0,3.0,1.0,1.0,0.0,2.0,7.0,1.0,1.0,4.0,3.0,2.0,3.0,2.0,2.0,2.0
ISTP,SP,istp,1OEg0rXXSO9RGIffSfJ2Je,20,0.45255,0.1293341144396741,0.64635,0.203267848960559,-9.9875,3.8108035967013016,0.5,0.512989176042577,0.06653,0.0399197629462426,0.2177469744999999,0.3200378613535553,0.280225,0.2200260579663475,0.4690500000000001,0.2258813090750841,109.11705,30.204925705786884,0.2818235994999999,0.3217331653114744,0.0,2.0,2.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
ISTP,SP,Forever changing,6T9JZklYEsUAe4cVLlMEXc,50,0.5940200000000001,0.103220882636436,0.6236200000000001,0.1693598861017807,-6.997000000000001,2.372522183290197,0.5,0.5050762722761054,0.061666,0.0561529711355235,0.1422867887999999,0.1995892343237103,0.160918,0.1065326465053251,0.460604,0.1958534114055297,117.99478,30.08924373090076,0.0148866878,0.0496981073954799,1.0,4.0,0.0,1.0,0.0,4.0,1.0,8.0,1.0,1.0,3.0,4.0,1.0,1.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,0.0,2.0,2.0
ISTP,SP,istp,4ltUXw8rs6BY5pHfwOdSoJ,15,0.6585333333333333,0.1263000207367173,0.667,0.1795227800905182,-6.616666666666668,2.3415061900612684,0.6,0.50709255283711,0.0726866666666666,0.0663797824929362,0.1184236666666666,0.138027145239968,0.2064666666666667,0.1758617544171178,0.5541333333333334,0.2001677391827259,117.04926666666668,28.429208117876296,0.0251485466666666,0.0454548770318412,0.0,3.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,1.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
ISTP,SP,don’t save her she don’t wanna be saved,26dKtUzjDkt5sI9p3INd79,50,0.5660799999999999,0.1752359156179148,0.68706,0.1621931841342041,-6.482900000000001,2.379005153506012,0.54,0.5034574339058886,0.0650739999999999,0.0600938714998188,0.0900172717999999,0.1504693121854852,0.20292,0.1425121591661711,0.464568,0.2371011645277352,124.09189999999998,29.387154154077425,0.0924172138,0.1980938490774139,0.0,5.0,1.0,2.0,0.0,4.0,0.0,4.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,3.0,2.0,5.0,1.0,2.0,3.0,0.0
ISTP,SP,Istp,3Zzr4yzkNGTcCGD3irXfmF,50,0.66374,0.1330190733599923,0.68786,0.1934370128987306,-6.962320000000001,4.322925952808975,0.58,0.4985693819032897,0.103098,0.1048237266528325,0.1848310999999999,0.2345938647881804,0.171538,0.1369761231837468,0.4592919999999999,0.2545737348300215,125.43616,28.19136192521332,0.293487141,0.3729820002158221,1.0,4.0,2.0,5.0,1.0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,2.0,9.0,0.0,2.0,2.0,2.0,0.0,2.0,0.0
ISTP,SP,Be by my side,7vSsPRdH8Na84IjVkC4qM1,50,0.6510000000000001,0.1392677644111573,0.5805,0.1573654592186673,-6.95054,2.1507281938156364,0.76,0.4314191105869001,0.087242,0.07829820570311,0.31055612,0.260088103402473,0.196012,0.115832020598444,0.4679939999999999,0.218969902330276,110.947,24.924584179693195,0.0569797115999999,0.1786794068742373,1.0,7.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,4.0,1.0,2.0,2.0,4.0,0.0,2.0,5.0,3.0,2.0,3.0,3.0,1.0,2.0
ISTP,SP,ISTP,21YGM9YBo00KqOcp2QLTSW,14,0.6862857142857143,0.148448089124903,0.6632142857142859,0.1591671489933815,-5.754714285714286,1.315820915367544,0.4285714285714285,0.5135525910130955,0.0988428571428571,0.06782998785749,0.1632471428571428,0.2127068425151087,0.2080142857142857,0.1919059579671686,0.6168571428571428,0.1860727141336282,114.72864285714286,24.905584735486208,0.0099901771428571,0.0306423021500658,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0
ISTP,SP,ISTP playlist,4qA7irEkdJJfPzMBtX7a6M,12,0.6660833333333332,0.1702166845434656,0.665,0.1694139631467575,-6.163333333333333,1.8786994695718888,0.5,0.5222329678670935,0.090525,0.0761686540752583,0.1337537499999999,0.1380314674782694,0.2120916666666666,0.1703354895937764,0.537,0.2711752201068527,107.38275,20.12294542476776,0.0573272666666666,0.0806753023551179,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
ISTP,SP,ISTP KU,3p92CicYaSgwjsM5oTARyU,4,0.59375,0.0755529615567782,0.5037499999999999,0.2354348813012492,-7.116499999999999,1.3602270643781011,1.0,0.0,0.0876749999999999,0.1019660196666843,0.3193,0.3630966262580802,0.2244749999999999,0.2158497220290079,0.3707999999999999,0.2873685670586352,97.9885,19.29956195530527,3.465e-06,5.996296078969639e-06,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ISTP,SP,ISTP,1u1hjQBVLMjaSScvBBAX1v,9,0.6649999999999999,0.165537004926391,0.5671111111111111,0.1732212778821098,-5.938777777777778,2.6188689246398806,0.7777777777777778,0.4409585518440984,0.0642555555555555,0.0615788338455493,0.2983555555555555,0.2406366873063577,0.1170666666666666,0.0709721424222208,0.5096666666666667,0.2225758297749331,113.18344444444443,17.708211535267413,4.311111111111111e-05,0.0001293333333333,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0
