mbti,function_pair,playlist_name,playlist_id,track_count,danceability_mean,danceability_stdev,energy_mean,energy_stdev,loudness_mean,loudness_stdev,mode_mean,mode_stdev,speechiness_mean,speechiness_stdev,acousticness_mean,acousticness_stdev,liveness_mean,liveness_stdev,valence_mean,valence_stdev,tempo_mean,tempo_stdev,instrumentalness_mean,instrumentalness_stdev,Cminor_count,CMajor_count,C#/Dbminor_count,C#/DbMajor_count,DMajor_count,Eminor_count,EMajor_count,Fminor_count,FMajor_count,F#/Gbminor_count,F#/GbMajor_count,GMajor_count,G#/AbMajor_count,Aminor_count,AMajor_count,A#/Bbminor_count,A#/BbMajor_count,Bminor_count,BMajor_count,Dminor_count,D#_Ebminor_count,D#_EbMajor_count,Gminor_count,G#/Abminor_count
INTP,NT,intp outcast,41KpGVKEWnKnmI7MIz9qXZ,10,0.5597,0.1031331932772158,0.4508,0.1936926545959976,-9.6962,2.856529277131798,0.7,0.4830458915396479,0.0354,0.0157566211832077,0.403432,0.397230510207864,0.1211,0.0602987746328416,0.4183,0.2555395381453828,101.3239,21.66476849864775,0.1376380999999999,0.2115836600803306,0.0,0.0,0.0,1.0,3.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
INTP,NT,mistyped intp 4w5,6sZ3h9vb9Z3EmIyfzMww8k,50,0.42634,0.1463100719118719,0.44592,0.2241512645241045,-10.893339999999998,5.406508793206611,0.44,0.5014265364224069,0.035994,0.0118622778897939,0.43740968,0.3545990983266872,0.153064,0.094650473569543,0.256188,0.1754616053588421,122.80214,32.64976621475196,0.360604343,0.3977177961000163,0.0,6.0,0.0,0.0,2.0,3.0,0.0,3.0,2.0,2.0,3.0,1.0,1.0,6.0,3.0,0.0,1.0,4.0,1.0,4.0,1.0,2.0,3.0,2.0
INTP,NT,INTP ✨,0LsgTBC7QOlh2uqVeBNGMw,20,0.54725,0.1366204404064125,0.6443999999999999,0.1890576074834557,-7.245349999999999,2.659341633503339,0.6,0.5026246899500346,0.0638099999999999,0.0596763543051843,0.20203992,0.273674808928833,0.158395,0.1399807185030551,0.3979,0.2140521087566247,121.59170000000002,32.3152579378453,0.1834540069999999,0.3307292470078615,1.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,2.0,2.0,0.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0
INTP,NT,Pov: ur an intp,1BmkgpU4NBxTNvxwr1uLHy,50,0.6209399999999999,0.1250120663563876,0.64802,0.1835101609820923,-6.704860000000001,3.044992644406517,0.62,0.4903143514780145,0.092752,0.0789300393916495,0.20386442,0.2372080755856007,0.211902,0.1456136536124526,0.540372,0.2212007602673579,121.26564,30.235274652913983,0.0389358916,0.1238031952965713,1.0,7.0,0.0,1.0,6.0,3.0,4.0,3.0,1.0,1.0,1.0,2.0,6.0,4.0,1.0,0.0,0.0,3.0,1.0,1.0,0.0,1.0,2.0,1.0
INTP,NT,INTP ?,4rK9f2q1Ph6vOW0LmMG4Yo,28,0.6457499999999998,0.1300184103772886,0.5845357142857142,0.1739264387166485,-6.865285714285714,2.778986090847108,0.4285714285714285,0.5039526306789697,0.0538821428571428,0.0270213914378607,0.1793728571428571,0.196504711089641,0.198275,0.159230388931445,0.4494214285714286,0.2271588550986631,113.216,27.24752759697929,0.0671690239285714,0.1596299620271588,2.0,0.0,1.0,1.0,2.0,0.0,0.0,4.0,1.0,2.0,1.0,1.0,2.0,1.0,0.0,2.0,3.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0
INTP,NT,INTPRYR,743OYBKiryEfhRPOANd3Xs,50,0.35922,0.132913243147858,0.285138,0.1820463272390423,-13.17906,4.676384768871207,0.86,0.3505098327538655,0.034908,0.0092834687394709,0.5895342,0.3614507639154484,0.179774,0.1518418979177529,0.215236,0.1035179778530063,116.695,31.50991876426552,0.079457932,0.2047231369651687,0.0,3.0,0.0,1.0,9.0,2.0,4.0,0.0,3.0,0.0,1.0,4.0,2.0,0.0,6.0,0.0,2.0,0.0,7.0,2.0,0.0,1.0,3.0,0.0
INTP,NT,INTP,0Z9AeAOVQzcvtIVkxCPOgi,16,0.5542499999999999,0.138146057972471,0.66825,0.1660070279636779,-8.4950625,3.252470229815076,0.5625,0.51234753829798,0.07991875,0.094757889513222,0.2325224,0.2753712393172048,0.198475,0.1728830413892583,0.4693125,0.2470945078979566,131.387875,32.718056604623285,0.2237221875,0.3694655279485433,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0
INTP,NT,INTP💜,0mlAQigwtBI5vk9hfPEOUF,50,0.62336,0.1414980723889761,0.6786799999999998,0.1670488673461531,-6.00302,2.8870247836886773,0.5,0.5050762722761054,0.098222,0.0877933433625551,0.182386168,0.2154274779570747,0.212094,0.1577963184821832,0.497516,0.2045896005097392,124.38939999999998,29.854951078130256,0.0613261044,0.1709313535270922,0.0,1.0,0.0,2.0,3.0,2.0,3.0,3.0,2.0,1.0,1.0,4.0,3.0,4.0,2.0,3.0,1.0,4.0,1.0,0.0,2.0,2.0,3.0,3.0
INTP,NT,pov: you're an intp,2VCiZNLoN0XxPESyoO9Mqw,50,0.52744,0.126842206327872,0.64042,0.1848878413459117,-7.6579,3.1943849859989504,0.62,0.4903143514780145,0.063792,0.0540359889144187,0.2513634806,0.3043180820433676,0.2049599999999999,0.1406970968471791,0.43992,0.2113099899122961,120.0464,32.53922250240814,0.1577862408,0.2853426211752736,1.0,3.0,0.0,3.0,2.0,2.0,4.0,3.0,3.0,1.0,1.0,5.0,2.0,5.0,4.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0
INTP,NT,INTP,5k7SMihaYPYhGs3WMA7Pm4,18,0.622611111111111,0.1565203008403811,0.7040555555555555,0.1664813970254801,-6.66611111111111,3.483940853298323,0.4444444444444444,0.5113099925649136,0.0881111111111111,0.0899424776234552,0.1679324444444444,0.2429507166276908,0.2051833333333333,0.1522227441072109,0.5017777777777777,0.2424168882574361,131.902,28.75122690579021,0.0970723533333333,0.2298134741574923,1.0,0.0,1.0,1.0,0.0,3.0,1.0,1.0,0.0,1.0,2.0,0.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
